Random/Known,max_iterations,min_tabu_size,max_tabu_size,num_cities,coordinates,execution_time,memory_used,best_route,best_distance
Known,10,10,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.1978960037231445,87.4765625,"[14, 40, 2, 43, 25, 7, 33, 32, 20, 22, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 19, 39, 12, 16, 13, 24, 29, 46, 18, 38, 5, 10, 44, 27, 0, 49, 21, 42, 31, 47, 9, 36, 17]",613.7924759843496
Known,100,10,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",1.9631311893463133,96.5625,"[14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 12, 16, 13, 24, 46, 29, 18, 38, 5, 10, 44, 0, 27, 21, 49, 42, 31, 47, 9, 36, 17]",608.4601241032083
Known,1000,10,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",19.935083150863647,100.29296875,"[14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 12, 16, 13, 24, 46, 29, 18, 38, 5, 10, 44, 0, 27, 21, 49, 42, 31, 47, 9, 36, 17]",608.4601241032083
Known,10,10,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.18916916847229,103.54296875,"[14, 40, 2, 43, 25, 7, 33, 32, 20, 22, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 19, 39, 12, 16, 13, 24, 29, 46, 18, 38, 5, 10, 44, 27, 0, 49, 21, 42, 31, 47, 9, 36, 17]",613.7924759843496
Known,100,10,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",1.993489980697632,107.36328125,"[14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 12, 16, 13, 24, 46, 29, 18, 38, 5, 10, 44, 0, 27, 21, 49, 42, 31, 47, 9, 36, 17]",608.4601241032083
Known,1000,10,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",21.03229570388794,110.8984375,"[14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 12, 16, 13, 24, 46, 29, 18, 38, 5, 10, 44, 0, 27, 21, 49, 42, 31, 47, 9, 36, 17]",608.4601241032083
Known,10,10,150,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.1873161792755127,114.78125,"[14, 40, 2, 43, 25, 7, 33, 32, 20, 22, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 19, 39, 12, 16, 13, 24, 29, 46, 18, 38, 5, 10, 44, 27, 0, 49, 21, 42, 31, 47, 9, 36, 17]",613.7924759843496
Known,100,10,150,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",1.974968194961548,118.0859375,"[14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 12, 16, 13, 24, 46, 29, 18, 38, 5, 10, 44, 0, 27, 21, 49, 42, 31, 47, 9, 36, 17]",608.4601241032083
Known,1000,10,150,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",22.11439847946167,121.484375,"[14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 12, 16, 13, 24, 46, 29, 18, 38, 5, 10, 44, 0, 27, 21, 49, 42, 31, 47, 9, 36, 17]",608.4601241032083
Known,10,20,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.1882340908050537,124.9453125,"[14, 40, 2, 43, 25, 7, 33, 32, 20, 22, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 19, 39, 12, 16, 13, 24, 29, 46, 18, 38, 5, 10, 44, 27, 0, 49, 21, 42, 31, 47, 9, 36, 17]",613.7924759843496
Known,100,20,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",2.009684562683105,128.66015625,"[14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 12, 16, 13, 24, 46, 29, 18, 38, 5, 10, 44, 0, 27, 21, 49, 42, 31, 47, 9, 36, 17]",608.4601241032083
Known,1000,20,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",19.94652485847473,132.25,"[14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 12, 16, 13, 24, 46, 29, 18, 38, 5, 10, 44, 0, 27, 21, 49, 42, 31, 47, 9, 36, 17]",608.4601241032083
Known,10,20,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.1898374557495117,135.72265625,"[14, 40, 2, 43, 25, 7, 33, 32, 20, 22, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 19, 39, 12, 16, 13, 24, 29, 46, 18, 38, 5, 10, 44, 27, 0, 49, 21, 42, 31, 47, 9, 36, 17]",613.7924759843496
Known,100,20,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",2.0326852798461914,139.484375,"[14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 12, 16, 13, 24, 46, 29, 18, 38, 5, 10, 44, 0, 27, 21, 49, 42, 31, 47, 9, 36, 17]",608.4601241032083
Known,1000,20,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",21.082074880599976,142.984375,"[14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 12, 16, 13, 24, 46, 29, 18, 38, 5, 10, 44, 0, 27, 21, 49, 42, 31, 47, 9, 36, 17]",608.4601241032083
Known,10,20,150,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.1867392063140869,146.3203125,"[14, 40, 2, 43, 25, 7, 33, 32, 20, 22, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 19, 39, 12, 16, 13, 24, 29, 46, 18, 38, 5, 10, 44, 27, 0, 49, 21, 42, 31, 47, 9, 36, 17]",613.7924759843496
Known,100,20,150,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",1.978911638259888,150.65625,"[14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 12, 16, 13, 24, 46, 29, 18, 38, 5, 10, 44, 0, 27, 21, 49, 42, 31, 47, 9, 36, 17]",608.4601241032083
Known,1000,20,150,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",22.10237050056457,153.88671875,"[14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 12, 16, 13, 24, 46, 29, 18, 38, 5, 10, 44, 0, 27, 21, 49, 42, 31, 47, 9, 36, 17]",608.4601241032083
Known,10,30,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.1874098777770996,157.34375,"[14, 40, 2, 43, 25, 7, 33, 32, 20, 22, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 19, 39, 12, 16, 13, 24, 29, 46, 18, 38, 5, 10, 44, 27, 0, 49, 21, 42, 31, 47, 9, 36, 17]",613.7924759843496
Known,100,30,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",1.9498255252838133,161.359375,"[14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 12, 16, 13, 24, 46, 29, 18, 38, 5, 10, 44, 0, 27, 21, 49, 42, 31, 47, 9, 36, 17]",608.4601241032083
Known,1000,30,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",20.33239459991455,164.39453125,"[14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 12, 16, 13, 24, 46, 29, 18, 38, 5, 10, 44, 0, 27, 21, 49, 42, 31, 47, 9, 36, 17]",608.4601241032083
Known,10,30,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.1991095542907714,167.8125,"[14, 40, 2, 43, 25, 7, 33, 32, 20, 22, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 19, 39, 12, 16, 13, 24, 29, 46, 18, 38, 5, 10, 44, 27, 0, 49, 21, 42, 31, 47, 9, 36, 17]",613.7924759843496
Known,100,30,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",2.187954425811768,171.93359375,"[14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 12, 16, 13, 24, 46, 29, 18, 38, 5, 10, 44, 0, 27, 21, 49, 42, 31, 47, 9, 36, 17]",608.4601241032083
